,年份,省份,项目,合计_surface,农田灌溉_surface,林牧渔畜_surface,工业_surface,城镇公共_surface,居民生活_surface,生态环境_surface,合计_groundwater,农田灌溉_groundwater,林牧渔畜_groundwater,工业_groundwater,城镇公共_groundwater,居民生活_groundwater,生态环境_groundwater
149,2010,内蒙古,耗水量,61.29,52.73,1.5,3.66,0.14,0.52,2.74,19.67,12.33,2.37,2.68,0.46,1.36,0.47
150,2010,陕西,取水量,30.64,20.23,2.31,3.97,0.28,3.38,0.47,30.22,13.38,3.29,6.73,1.61,4.8,0.41
151,2010,陕西,耗水量,24.42,16.85,1.85,2.76,0.26,2.23,0.47,19.51,10.7,2.63,2.39,0.66,2.72,0.41
152,2010,山西,取水量,21.07,13.73,1.09,2.62,0.74,1.21,1.68,23.48,10.59,1.28,6.21,0.91,3.93,0.56
153,2010,山西,耗水量,18.17,11.96,1.01,1.94,0.68,0.9,1.68,17.08,8.47,1.02,4.17,0.39,2.47,0.56
154,2010,河南,取水量,47.21,29.13,1.6,11.02,1.13,3.69,0.64,22.86,9.93,1.4,7.1,0.59,3.36,0.48
155,2010,河南,耗水量,44.1,28.12,1.45,9.35,1.09,3.48,0.64,14.08,7.97,1.13,2.23,0.26,2.09,0.4
156,2010,山东,取水量,76.04,59.84,2.63,7.47,1.24,3.7,1.61,9.44,5.03,1.47,1.38,0.21,1.35,0.0
157,2010,山东,耗水量,74.49,59.15,2.39,7.09,1.2,3.55,1.11,6.79,4.02,1.18,0.63,0.12,0.84,0.0
158,2010,合计,取水量,384.84,289.87,18.37,42.07,4.99,17.43,12.11,127.21,58.12,11.41,31.49,5.12,18.8,2.27
159,2010,合计,耗水量,309.16,288.65,15.47,34.22,4.52,14.45,11.85,85.7,46.5,9.13,14.39,2.35,11.32,2.01
160,2011,青海,取水量,14.55,11.53,1.94,0.43,0.05,0.51,0.09,3.74,0.25,0.0,1.85,0.51,0.97,0.16
161,2011,青海,耗水量,1053.0,8.5,1.41,0.17,0.04,0.33,0.08,1.62,0.2,0.0,0.57,0.2,0.54,0.11
162,2011,四川,取水量,0.31,0.09,0.11,0.04,0.02,0.05,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
163,2011,四川,耗水量,0.23,0.07,0.09,0.02,0.02,0.03,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
164,2011,甘肃,取水量,41.24,24.55,0.95,10.01,1.1,3.54,1.09,6.11,2.84,0.33,1.24,0.29,1.35,0.06
165,2011,甘肃,耗水量,33.23,21.25,0.76,6.89,0.85,2.58,0.9,3.98,2.27,0.26,0.41,0.17,0.83,0.04
166,2011,宁夏,取水量,68.77,60.39,4.73,2.44,0.07,0.26,0.88,5.6,0.85,0.53,2.71,0.38,1.02,0.11
167,2011,宁夏,耗水量,37.01,29.68,4.11,2.04,0.06,0.24,0.88,3.26,0.68,0.42,1.51,0.12,0.48,0.05
168,2011,内蒙古,取水量,75.51,37.1,2.0,4.16,0.22,0.52,1.51,28.79,16.4,3.28,5.24,0.64,2.33,0.9
169,2011,内蒙古,耗水量,61.5,54.07,1.5,3.75,0.15,0.52,1.51,21.64,13.12,2.62,3.23,0.41,1.44,0.82
170,2011,陕西,取水量,33.43,20.71,2.83,4.11,0.71,4.07,1.0,29.14,12.1,3.38,6.74,1.39,5.04,0.49
171,2011,陕西,耗水量,26.6,17.17,2.34,2.72,0.64,2.73,1.0,18.77,9.68,2.7,2.44,0.58,2.88,0.49
172,2011,山西,取水量,23.96,13.17,3.45,3.43,0.51,1.82,1.58,25.38,10.98,1.96,5.93,1.61,4.51,0.39
173,2011,山西,耗水量,20.54,11.1,3.28,2.75,0.48,1.35,1.58,18.49,8.79,1.57,4.32,0.67,2.75,0.39
174,2011,河南,取水量,55.25,35.25,1.54,12.16,1.14,3.74,1.42,21.8,9.51,1.41,6.62,0.57,3.2,0.49
175,2011,河南,耗水量,51.95,34.31,1.41,10.21,1.11,3.51,1.4,13.35,7.6,1.14,2.1,0.27,1.83,0.41
176,2011,山东,取水量,80.59,61.8,3.56,7.82,1.47,3.71,2.23,8.58,4.22,1.45,1.21,0.24,1.43,0.03
177,2011,山东,耗水量,78.87,61.02,3.27,7.42,1.43,3.56,2.17,6.09,3.37,1.16,0.58,0.15,0.81,0.02
178,2011,合计,取水量,407.21,301.09,21.31,47.2,5.79,19.02,12.8,129.15,57.15,12.35,31.54,5.63,19.85,2.63
179,2011,合计,耗水量,334.06,243.67,18.37,38.57,5.28,15.65,12.52,87.21,45.71,9.88,15.16,2.57,11.56,2.33
180,2012,青海,取水量,12.54,9.22,1.98,0.45,0.32,0.52,0.05,1.94,4.16,0.0,0.78,0.49,0.48,0.11
181,2012,青海,耗水量,9.02,6.7,1.46,0.18,0.29,0.34,0.05,1.07,0.06,0.0,0.31,0.31,0.31,0.08
182,2012,四川,取水量,0.34,0.13,0.11,0.04,0.0,0.06,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
183,2012,四川,耗水量,0.25,0.1,0.09,0.02,0.0,0.04,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0
184,2012,甘肃,取水量,40.51,24.17,0.93,9.58,1.12,3.62,1.09,6.49,2.99,0.32,1.5,0.3,1.32,0.06
185,2012,甘肃,耗水量,31.88,20.56,0.76,6.29,0.86,2.39,1.02,4.67,2.39,0.27,0.9,0.19,0.88,0.04
186,2012,宁夏,取水量,66.39,57.39,4.62,2.63,0.12,0.26,1.37,5.46,0.86,0.53,2.55,0.44,0.97,0.11
187,2012,宁夏,耗水量,37.55,29.16,4.3,2.39,0.11,0.23,1.36,3.96,0.69,0.43,1.68,0.27,0.64,0.05
188,2012,内蒙古,取水量,67.35,58.99,2.06,4.21,0.2,0.52,1.37,30.06,13.98,3.78,7.83,1.1,2.69,0.68
189,2012,内蒙古,耗水量,53.94,46.19,1.76,3.96,0.14,0.52,1.37,22.57,11.18,3.21,5.1,0.68,1.77,0.63
190,2012,陕西,取水量,34.58,21.85,3.14,4.3,0.63,3.67,0.99,30.02,11.95,3.41,6.75,1.53,5.85,0.53
191,2012,陕西,耗水量,27.72,18.27,2.61,2.93,0.57,2.45,0.99,21.81,9.56,2.73,4.16,0.94,3.89,0.53
192,2012,山西,取水量,23.85,15.94,0.88,3.29,0.54,1.15,2.05,24.94,11.81,0.93,5.99,1.46,4.98,0.4
193,2012,山西,耗水量,20.66,13.86,0.71,2.57,0.51,0.96,2.05,18.76,8.94,0.93,4.48,0.92,3.09,0.4
194,2012,河南,取水量,56.77,33.86,1.18,10.99,1.0,3.84,5.9,23.23,10.61,1.7,6.8,0.72,2.88,0.52
195,2012,河南,耗水量,53.86,33.43,1.08,8.98,0.96,3.52,5.89,16.89,8.49,1.37,4.23,0.47,1.9,0.43
196,2012,山东,取水量,83.84,67.06,2.83,6.36,1.5,3.63,2.46,8.48,4.29,1.34,1.23,0.23,1.38,0.01
197,2012,山东,耗水量,81.62,65.81,2.61,5.94,1.44,3.44,2.38,6.28,3.43,1.08,0.77,0.14,0.85,0.01
198,2012,合计,取水量,392.97,290.78,17.83,44.48,5.73,17.87,16.28,130.63,55.94,12.02,33.43,6.27,20.55,2.42
199,2012,合计,耗水量,323.3,236.25,15.48,35.79,5.18,14.49,16.11,95.82,44.74,10.03,21.63,392.0,13.33,2.17
200,2013,青海,取水量,13.24,9.66,2.04,0.62,0.34,0.53,0.05,2.04,0.08,0.0,0.83,0.54,0.48,0.11
201,2013,青海,耗水量,9.44,7.0,1.49,0.25,0.31,0.34,0.05,1.12,0.06,0.0,0.33,0.34,0.31,0.08
202,2013,四川,取水量,0.42,0.12,0.13,0.03,0.03,0.1,0.01,0.03,0.02,0.01,0.0,0.0,0.0,0.0
203,2013,四川,耗水量,0.33,0.1,0.1,0.02,0.03,0.07,0.01,0.03,0.02,0.01,0.0,0.0,0.0,0.0
204,2013,甘肃,取水量,38.51,22.27,2.62,7.77,1.99,3.3,0.56,4.82,4.5,0.02,0.04,0.04,0.08,0.14
205,2013,甘肃,耗水量,30.89,19.35,2.24,5.0,1.59,2.19,0.52,3.81,3.6,0.02,0.02,0.03,0.05,0.09
206,2013,宁夏,取水量,68.87,57.76,5.53,3.22,0.12,0.3,1.94,5.56,0.9,0.55,2.59,0.46,0.95,0.11
207,2013,宁夏,耗水量,38.85,28.58,5.3,2.68,0.11,0.25,1.93,3.82,0.72,0.44,1.71,0.27,0.63,0.05
208,2013,内蒙古,取水量,78.35,69.4,2.94,4.52,0.4,0.9,0.19,29.45,15.3,5.36,4.29,1.15,2.55,0.8
209,2013,内蒙古,耗水量,62.75,54.55,2.68,4.14,0.34,0.85,0.19,22.7,12.24,4.53,2.8,0.71,1.68,0.74
210,2013,陕西,取水量,36.87,23.04,3.29,4.41,0.72,3.91,1.5,30.05,11.9,3.28,6.97,1.54,5.83,0.53
211,2013,陕西,耗水量,29.5,19.09,2.72,2.92,0.65,2.62,1.5,21.8,9.52,2.63,4.29,0.95,3.88,0.53
212,2013,山西,取水量,25.42,16.85,0.75,3.16,0.49,1.77,2.4,24.49,11.39,0.96,5.58,1.51,4.58,0.47
213,2013,山西,耗水量,22.08,14.69,0.61,2.5,0.47,1.41,2.4,18.52,9.11,0.96,4.19,0.95,2.84,0.47
214,2013,河南,取水量,56.58,33.61,1.31,10.93,1.1,3.45,6.18,23.85,10.35,1.99,7.07,0.71,3.34,0.42
215,2013,河南,耗水量,53.23,32.72,1.17,8.9,1.07,3.24,6.13,17.22,8.26,1.59,4.38,0.46,2.19,0.34
216,2013,山东,取水量,83.03,64.55,3.4,7.73,1.62,4.16,2.57,7.93,4.16,1.02,1.22,0.19,1.33,0.01
217,2013,山东,耗水量,81.33,63.73,2.22,7.33,1.58,3.96,2.51,5.86,3.33,0.82,0.77,0.12,0.81,0.01
218,2013,合计,取水量,404.76,300.0,21.11,42.89,6.84,18.52,15.4,128.22,58.57,13.19,28.59,3.14,19.14,2.59
219,2013,合计,耗水量,331.87,242.55,18.63,34.24,6.18,15.03,15.24,94.88,46.86,11.11,18.49,3.83,12.39,2.31
220,2014,青海,取水量,13.02,8.79,2.48,0.63,0.37,0.66,0.09,2.13,0.08,0.0,0.81,0.57,0.53,0.14
221,2014,青海,耗水量,9.32,6.26,1.88,0.34,0.33,0.43,0.08,1.18,0.06,0.0,0.32,0.36,0.34,0.1
222,2014,四川,取水量,0.39,0.18,0.07,0.03,0.04,0.07,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0
223,2014,四川,耗水量,0.31,0.14,0.06,0.02,0.04,0.05,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0
224,2014,甘肃,取水量,37.59,21.33,2.78,7.41,2.13,3.38,0.56,5.11,4.72,0.03,0.09,0.05,0.08,0.14
225,2014,甘肃,耗水量,29.93,18.29,2.38,4.77,1.71,2.25,0.43,4.04,3.78,0.03,0.05,0.04,0.05,0.09
226,2014,宁夏,取水量,67.93,55.73,6.2,3.35,0.13,0.31,2.21,5.47,0.87,0.55,2.43,0.49,1.01,0.12
227,2014,宁夏,耗水量,38.8,27.53,5.87,2.81,0.12,0.26,2.21,3.75,0.7,0.44,1.6,0.3,0.66,0.05
228,2014,内蒙古,取水量,78.36,66.36,3.25,5.23,0.4,0.91,2.21,28.0,16.54,3.82,3.87,0.77,2.3,0.7
229,2014,内蒙古,耗水量,62.0,50.71,3.05,4.83,0.34,0.86,2.21,21.67,13.24,3.25,2.53,0.48,1.52,0.65
230,2014,陕西,取水量,36.81,22.69,3.31,4.47,0.72,3.95,1.67,29.85,11.71,3.36,6.86,1.52,5.84,0.56
231,2014,陕西,耗水量,29.48,18.82,2.74,2.96,0.65,2.64,1.67,21.66,9.37,2.69,4.22,0.93,3.89,0.56
232,2014,山西,取水量,26.24,15.44,0.79,4.32,0.72,2.14,2.83,22.89,10.89,0.84,4.68,1.35,4.68,0.45
233,2014,山西,耗水量,23.23,13.58,0.79,3.69,0.68,1.66,2.83,17.66,8.71,0.84,3.9,0.85,2.91,0.45
234,2014,河南,取水量,49.84,29.55,1.52,9.41,1.18,2.89,5.29,22.89,9.84,1.85,6.17,0.82,3.84,0.37
235,2014,河南,耗水量,46.78,28.64,1.34,7.74,1.13,4.61,2.76,16.49,7.84,1.47,3.84,0.52,2.52,0.3
236,2014,山东,取水量,93.97,75.14,1.43,8.03,2.0,3.0,0.75,7.89,4.01,1.01,1.32,0.24,1.26,0.05
237,2014,山东,耗水量,92.46,74.41,1.39,7.66,1.95,4.36,2.69,5.91,3.21,0.91,0.83,0.15,0.77,0.04
238,2014,合计,取水量,410.53,300.76,22.13,43.28,7.72,19.02,17.62,124.25,58.66,11.48,26.23,5.81,19.54,2.53
239,2014,合计,耗水量,338.69,243.93,19.8,35.22,6.98,15.32,17.44,92.38,46.91,9.65,17.29,3.63,12.66,2.24
240,2015,青海,取水量,13.21,8.81,2.66,0.64,0.36,0.68,0.06,2.34,0.08,0.0,0.92,0.55,0.54,0.25
241,2015,青海,耗水量,9.47,6.29,2.01,0.35,0.33,0.44,0.05,1.31,0.06,0.0,0.37,0.35,0.35,0.18
242,2015,四川,取水量,0.39,0.17,0.04,0.05,0.03,0.09,0.01,0.03,0.01,0.01,0.0,0.0,0.01,0.0
243,2015,四川,耗水量,0.31,0.14,0.04,0.03,0.03,0.06,0.01,0.03,0.01,0.01,0.0,0.0,0.01,0.0
244,2015,甘肃,取水量,36.39,20.33,2.84,6.65,2.07,3.5,1.0,5.14,4.68,0.03,0.07,0.05,0.07,0.24
245,2015,甘肃,耗水量,29.2,17.56,2.43,4.31,1.65,2.32,0.93,4.06,3.75,0.03,0.04,0.03,0.05,0.16
246,2015,宁夏,取水量,67.6,56.09,6.13,2.78,0.13,0.36,2.11,5.14,0.98,0.63,1.85,0.53,1.02,0.13
247,2015,宁夏,耗水量,38.93,28.37,5.8,2.24,0.12,0.3,2.1,3.57,0.79,0.51,1.22,0.32,0.67,0.06
248,2015,内蒙古,取水量,73.86,62.01,3.34,5.25,0.4,0.9,1.96,27.39,15.44,4.69,3.35,0.74,2.44,0.73
249,2015,内蒙古,耗水量,58.03,46.91,3.12,4.85,0.34,0.85,1.96,21.31,12.35,4.02,2.19,0.46,1.61,0.68
250,2015,陕西,取水量,37.23,21.75,3.7,4.66,0.71,4.43,1.98,30.24,11.89,3.36,7.06,1.55,5.8,0.58
251,2015,陕西,耗水量,29.7,17.96,3.06,3.09,0.64,2.97,1.98,21.93,9.51,2.69,4.34,0.96,3.85,0.58
252,2015,山西,取水量,30.22,19.54,0.59,5.38,0.78,2.28,1.65,21.97,10.49,0.91,4.29,1.23,4.81,0.24
253,2015,山西,耗水量,26.56,17.29,0.59,4.54,0.73,1.76,1.65,16.91,8.39,0.91,3.6,0.78,2.99,0.24
254,2015,河南,取水量,47.15,28.23,1.62,8.83,1.14,2.74,4.59,23.04,10.07,2.01,5.78,0.91,3.79,0.48
255,2015,河南,耗水量,44.31,27.33,1.41,7.36,1.09,2.6,4.52,16.62,8.04,1.61,3.6,0.56,2.45,0.36
256,2015,山东,取水量,100.12,81.03,1.55,8.27,2.07,4.59,2.61,7.98,4.28,0.87,1.34,0.2,1.27,0.02
257,2015,山东,耗水量,98.64,80.41,1.51,7.8,2.02,4.36,2.54,5.97,3.43,0.78,0.84,0.12,0.78,0.02
258,2015,合计,取水量,411.36,302.25,22.67,42.91,7.69,19.67,16.17,123.27,57.92,12.51,24.66,5.76,19.75,2.67
259,2015,合计,耗水量,340.34,246.55,20.17,34.97,6.95,15.76,15.94,91.71,46.33,10.56,16.2,3.58,12.76,2.28
260,2016,青海,取水量,12.97,8.79,2.2,0.5,0.28,0.76,0.44,2.93,0.41,0.24,0.86,0.57,0.73,0.12
261,2016,青海,耗水量,9.45,6.3,1.72,0.27,0.25,0.51,0.4,1.79,0.33,0.19,0.35,0.37,0.47,0.08
262,2016,四川,取水量,0.27,0.0,0.15,0.04,0.02,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0
263,2016,四川,耗水量,0.23,0.0,0.13,0.03,0.02,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0
264,2016,甘肃,取水量,37.49,21.24,2.88,6.59,2.11,3.65,1.02,4.69,4.2,0.03,0.09,0.05,0.07,0.25
265,2016,甘肃,耗水量,29.74,17.76,2.46,4.36,1.75,2.46,0.95,3.69,3.36,0.03,0.05,0.04,0.05,0.16
266,2016,宁夏,取水量,63.42,52.05,5.11,3.49,0.25,0.7,1.82,5.31,1.03,0.59,1.64,0.67,1.19,0.19
267,2016,宁夏,耗水量,36.21,25.87,4.78,2.91,0.23,0.6,1.82,3.64,0.82,0.48,1.08,0.4,0.78,0.08
268,2016,内蒙古,取水量,70.95,61.71,2.01,4.27,0.3,0.8,1.86,27.01,15.13,4.49,3.09,0.69,2.6,1.01
269,2016,内蒙古,耗水量,55.2,46.62,1.81,3.92,0.24,0.75,1.86,21.03,12.1,3.81,2.03,0.43,1.72,0.94
270,2016,陕西,取水量,36.91,20.22,3.65,4.92,1.23,4.55,2.34,29.93,12.22,3.47,6.5,1.45,5.84,0.45
271,2016,陕西,耗水量,29.27,16.63,3.01,3.22,1.1,2.97,2.34,21.83,9.77,2.78,4.0,0.89,3.94,0.45
272,2016,山西,取水量,32.8,21.27,0.64,5.65,0.85,2.44,1.95,20.7,9.72,0.95,3.72,1.11,4.93,0.27
273,2016,山西,耗水量,28.79,18.75,0.64,4.78,0.8,1.87,1.95,15.86,7.78,0.95,3.1,0.7,3.06,0.27
274,2016,河南,取水量,46.36,28.48,1.72,8.15,1.05,2.81,4.15,23.8,10.7,2.02,5.63,0.8,4.09,0.56
275,2016,河南,耗水量,43.21,27.36,1.5,6.78,1.01,2.51,4.05,17.25,8.55,1.58,3.49,0.49,2.66,0.48
276,2016,山东,取水量,88.01,69.49,1.68,9.51,1.44,3.77,2.12,7.48,3.9,0.77,1.35,0.2,1.24,0.02
277,2016,山东,耗水量,86.44,68.87,1.62,9.02,1.39,3.48,2.06,5.55,3.12,0.69,0.85,0.12,0.76,0.01
278,2016,合计,取水量,392.89,286.46,20.14,43.32,7.53,19.54,15.9,121.87,57.31,12.56,22.88,5.54,20.71,2.87
279,2016,合计,耗水量,322.25,231.37,17.77,35.49,6.79,15.2,15.63,90.65,45.83,10.51,14.95,3.44,13.45,2.47
280,2017,青海,取水量,12.79,7.99,2.73,0.49,0.35,0.78,0.45,3.04,0.41,0.3,0.91,0.51,0.75,0.16
281,2017,青海,耗水量,9.31,5.72,2.12,0.27,0.28,0.52,0.4,1.86,0.33,0.24,0.37,0.33,0.48,0.11
282,2017,四川,取水量,0.24,0.1,0.05,0.03,0.0,0.06,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0
283,2017,四川,耗水量,0.2,0.08,0.05,0.02,0.0,0.05,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0
284,2017,甘肃,取水量,38.12,21.49,2.92,6.77,2.28,3.64,1.02,4.43,3.93,0.03,0.1,0.05,0.07,0.25
285,2017,甘肃,耗水量,30.32,18.22,2.48,4.43,1.82,2.42,0.95,3.46,3.14,0.02,0.05,0.04,0.05,0.16
286,2017,宁夏,取水量,64.87,52.48,5.15,4.12,0.26,0.63,2.23,5.54,0.89,0.92,1.44,0.72,1.33,0.24
287,2017,宁夏,耗水量,37.15,25.79,4.82,3.53,0.24,0.54,2.23,3.8,0.71,0.74,0.95,0.43,0.87,0.1
288,2017,内蒙古,取水量,69.63,59.62,2.02,4.34,0.3,0.8,2.55,26.47,15.07,4.32,2.82,0.62,2.69,0.95
289,2017,内蒙古,耗水量,54.37,45.04,1.82,3.97,0.24,0.75,2.55,20.6,12.06,3.65,1.85,0.38,1.78,0.88
290,2017,陕西,取水量,39.49,21.2,3.67,5.51,1.32,4.97,2.82,29.26,11.53,3.58,6.54,1.42,5.79,0.4
291,2017,陕西,耗水量,31.38,17.39,3.05,3.65,1.19,3.28,2.82,21.3,9.23,2.86,4.02,0.88,3.91,0.4
292,2017,山西,取水量,32.99,21.27,0.64,5.72,0.87,2.49,2.0,20.7,9.72,0.95,3.72,1.11,4.93,0.27
293,2017,山西,耗水量,28.93,18.72,0.64,4.84,0.82,1.91,2.0,15.86,7.78,0.95,3.1,0.7,3.06,0.27
294,2017,河南,取水量,53.04,31.07,1.74,8.38,1.21,3.44,7.2,21.68,8.86,1.88,5.52,0.95,3.97,0.5
295,2017,河南,耗水量,49.72,29.82,1.51,7.02,1.18,3.13,7.06,15.6,7.07,1.5,3.43,0.6,2.57,0.43
296,2017,山东,取水量,86.75,66.27,1.53,9.13,1.41,4.0,4.41,7.8,3.69,0.81,1.45,0.38,1.45,0.02
297,2017,山东,耗水量,85.18,65.62,1.47,8.67,1.36,3.76,4.3,5.74,2.95,0.73,0.92,0.23,0.89,0.02
298,2017,合计,取水量,400.22,283.49,20.55,44.49,8.0,20.81,22.88,118.94,54.1,12.79,22.5,5.76,21.0,2.79
299,2017,合计,耗水量,328.86,228.4,18.06,36.4,73.0,16.36,22.51,88.23,43.27,10.69,14.69,3.59,13.62,2.37
